date,product,region,customer_id,sales,cluster
2024-01-12,Tablet,East,1654,1788.0,0
2024-02-07,Laptop,North,1924,1377.0,0
2024-08-11,Phone,West,1657,803.0,0
2024-03-24,Phone,North,1107,1161.0,0
2024-01-25,Laptop,East,1218,758.0,0
2024-11-29,Laptop,North,1456,429.0,0
2024-01-11,Laptop,East,1958,1006.0,0
2024-09-02,Laptop,East,1995,940.0,0
2024-02-19,Laptop,East,1542,207.0,0
2024-09-16,Phone,West,1057,1173.0,0
2024-02-27,Phone,West,1628,333.0,0
2024-11-17,Phone,North,1559,908.0,0
2024-08-28,Laptop,West,1596,551.0,0
2024-06-16,Tablet,North,1571,937.0,0
2024-04-04,Laptop,North,1680,625.0,0
2024-05-24,Laptop,East,1637,1971.0,0
2024-11-25,Tablet,East,1756,1883.0,0
2024-10-30,Tablet,West,1533,1211.0,0
2024-09-14,Tablet,East,1986,6240.0,2
2024-09-10,Laptop,West,1092,1845.0,0
2024-06-28,Phone,West,1873,619.0,0
2024-12-04,Phone,East,1134,1716.0,0
2024-07-04,Phone,West,1492,671.0,0
2024-12-26,Tablet,North,1075,1101.0,0
2024-09-03,Phone,East,1444,1045.0,0
2024-11-27,Laptop,North,1716,1414.0,0
2024-02-20,Tablet,North,1983,832.0,0
2024-03-29,Laptop,North,1187,1942.0,0
2024-11-19,Laptop,North,1160,1123.0,0
2024-03-15,Tablet,South,1462,673.0,0
2024-08-04,Tablet,East,1800,486.0,0
2024-01-12,Tablet,West,1645,1594.0,0
2024-10-12,Phone,South,1156,1571.0,0
2024-03-08,Laptop,North,1643,1634.0,0
2024-05-10,Phone,South,1061,1879.0,0
2024-06-29,Laptop,East,1093,218.0,0
2024-10-08,Laptop,West,1382,1178.0,0
2024-09-13,Phone,South,1591,7659.0,2
2024-08-21,Phone,East,1770,361.0,0
2024-08-06,Laptop,West,1312,1709.0,0
2024-05-26,Tablet,North,1471,1571.0,0
2024-09-04,Laptop,North,1967,485.0,0
2024-06-21,Tablet,East,1034,1057.0,0
2024-05-26,Tablet,South,1923,819.0,0
2024-06-27,Phone,South,1191,1732.0,0
2024-03-29,Phone,South,1919,465.0,0
2024-08-10,Phone,South,1271,298.0,0
2024-01-26,Tablet,West,1831,1930.0,0
2024-04-03,Laptop,East,1475,881.0,0
2024-11-23,Laptop,North,1014,714.0,0
